Provinsi,X1 (%),X4 (%),X6 (%),X10 (%),X11 (%),X12 (%),X13 (%),X14 (%),X15 (%),X16 (%),X17 (%),X18 (%)
Aceh,65.68666667,4.39,7.626666667,10.57666667,23.13,13.45666667,10.54,40.78333333,59.21666667,3.956666667,9.06,8.78
Sumatera Utara,72.35333333,3.473333333,6.85,9.803333333,28.83,13.87,13.33666667,38.89333333,61.10666667,4.496666667,7.27,7.386666667
Sumatera Barat,71.16333333,4.416666667,8.126666667,9.693333333,24.06333333,15.44666667,13.33666667,36.26,63.74,3.666666667,7.61,8.136666667
Riau,68.91666667,4.856666667,8.813333333,9.543333333,25.33,13.82333333,13.44666667,46.8,53.2,3.783333333,8.096666667,7.203333333
Jambi,69.91333333,4.803333333,7.236666667,11.40333333,24.28,12.77666667,8.733333333,41.72666667,58.27333333,2.08,5.796666667,6.123333333
Sumatera Selatan,72.2,3.116666667,4.796666667,10.58333333,25.36333333,15.25666667,11.18666667,38.64666667,61.35333333,2.17,7.363333333,4.636666667
Bengkulu,73.31666667,3.123333333,9.41,10.63,25.34666667,16.81,9.233333333,29.55,70.45,1.756666667,3.663333333,5.056666667
Lampung,72.18666667,3.246666667,11.71666667,9.29,23.48666667,17.11333333,10.58666667,28.67333333,71.32666667,2.95,6.996666667,5.926666667
Kep. Bangka Belitung,69.86,6.053333333,4.82,10.58666667,30.14,15.96666667,10.73666667,50.33333333,49.66666667,3.19,4.496666667,5.52
Kepulauan Riau,71.15666667,3.893333333,4.656666667,8.263333333,38.18666667,16.60333333,14.55,62.29333333,37.70666667,4.336666667,9.113333333,4.77
DKI Jakarta,69.38,3.863333333,2.573333333,5.563333333,44.80666667,13.93333333,21.36666667,66.73333333,33.26666667,3.236666667,6.98,5.286666667
Jawa Barat,64.70666667,4.103333333,11.27,7.81,34.25666667,14.81,17.65333333,49.26333333,50.73666667,6.986666667,10.59,7.306666667
Jawa Tengah,69.99666667,3.45,11.12333333,8.923333333,29.61333333,17.44333333,13.85333333,39.27666667,60.72333333,3.01,7.103333333,5.64
DI Yogyakarta,72.45666667,4.203333333,6.86,9.503333333,29.65,15.84333333,12.63,48.52666667,51.47333333,1.13,4.13,5.09
Jawa Timur,69.22,3.626666667,10.73,8.893333333,26.39666667,16.7,14.65666667,37.59,62.41,2.506666667,6.75,5.523333333
Banten,66.82666667,3.056666667,8.76,8.8,41.96666667,14.19666667,13.22666667,55.79333333,44.20666667,6.523333333,10.93333333,4.8
Bali,77.79333333,3.823333333,5.87,8.82,29.19,19.15333333,18.14666667,48.07666667,51.92333333,0.663333333,1.46,1.786666667
Nusa Tenggara Barat,70.69,2.143333333,11.17333333,9.21,21.07333333,15.24,12.60333333,28.81,71.19,1.943333333,5.833333333,6.436666667
Nusa Tenggara Timur,72.24333333,1.67,3.71,11.71333333,23.41,11.51333333,7.71,23.41333333,76.58666667,1.283333333,5.623333333,8.883333333
Kalimantan Barat,71.95,3.143333333,5.576666667,10.51,25.37333333,13.68333333,11.98333333,37.60333333,62.39666667,2.9,6.846666667,6.856666667
Kalimantan Tengah,72.94666667,3.653333333,4.873333333,10.85333333,26.22333333,16.2,15.20333333,44.71333333,55.28666667,1.983333333,5.55,4.22
Kalimantan Selatan,73.6,3.206666667,4.026666667,9.91,24.17666667,14.93,12.19,40.29,59.71,2.753333333,5.58,3.96
Kalimantan Timur,68.25333333,4.863333333,3.95,10.01,26.93666667,17.43,20.56,56.84333333,43.15666667,6.48,9.08,5.593333333
Kalimantan Utara,69.15,4.006666667,4.496666667,10.90333333,26.12,14.86333333,16.80666667,54.09333333,45.90666667,3.703333333,6.626666667,6.233333333
Sulawesi Utara,66.64333333,3.256666667,10.47666667,8.883333333,33.34666667,13.83333333,14.39333333,40.17666667,59.82333333,2.843333333,10.38,6.55
Sulawesi Tengah,72.70333333,4.246666667,8.966666667,10.66666667,23.28,13.97,11.72333333,33.12666667,66.87333333,2.063333333,5.773333333,3.173333333
Sulawesi Selatan,65.31,3.413333333,5.53,9.176666667,22.65333333,15.1,11.89333333,35.9,64.1,2.956666667,8.92,6.88
Sulawesi Tenggara,72.46666667,3.823333333,4.32,9.836666667,21.70333333,15.52,12.48666667,34.47333333,65.52666667,1.513333333,4.41,5.58
Gorontalo,71.92333333,4.243333333,9.89,8.57,23.32666667,17.53333333,19.48333333,39.01333333,60.98666667,1.973333333,7.296666667,4.876666667
Sulawesi Barat,70.96666667,2.72,6.13,9.686666667,18.04666667,13.22,8.116666667,29.94,70.06,1.416666667,3.833333333,4.423333333
Maluku,64.74,1.563333333,3.35,12.13333333,23.62,11.36666667,11.07333333,34.71,65.29,2.823333333,11.83,11.14
Maluku Utara,68.59,3.88,4.246666667,11.13,24.56,13.21666667,12.58333333,36.24333333,63.75666667,2.176666667,8.573333333,8.08
Papua Barat,70.1,2.666666667,3.183333333,11.54333333,24.84666667,11.68,12.27666667,37.03666667,62.96333333,3.166666667,9.493333333,9.35
Papua,77.57333333,1.24,1.25,16.55666667,25.16,7.506666667,5.666666667,21.81666667,78.18333333,1.92,6.923333333,6.12
